url,tipo,bairro,cidade,objetivo,preco,area_util,quartos,suites,vagas
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22457,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA22453,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/kit-vila-do-encontro/MO5855,Kitnet,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,1.0,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA34456,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA34450,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA26373,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-do-encontro/JA34452,Apartamento,Vila do Encontro,São Paulo,Locação,1390.0,44.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-jabaquara/JA38786,Conjunto Comercial,Jabaquara,São Paulo,Locação,1390.0,70.0,,,1.0
https://www.novasaopaulo.com.br/imovel/casa-assobradada-vila-caraguata/JA34645,Casa Assobradada,Vila Caraguatá,São Paulo,Locação,1390.0,40.0,1.0,,
https://www.novasaopaulo.com.br/imovel/comercial-saude/JA36321,Comercial,Saúde,São Paulo,Locação,1400.0,39.0,,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA18778,Conjunto Comercial,Saúde,São Paulo,Locação,1400.0,32.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA38697,Conjunto Comercial,Saúde,São Paulo,Locação,1400.0,31.0,,,1.0
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-do-encontro/JA32683,Casa Térrea,Vila do Encontro,São Paulo,Locação,1400.0,35.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-do-encontro/JA32680,Casa Térrea,Vila do Encontro,São Paulo,Locação,1400.0,35.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-agua-funda/JA3791,Casa Térrea,Vila Água Funda,São Paulo,Locação,1400.0,35.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/apartamento-vila-monumento/JA40390,Apartamento,Vila Monumento,São Paulo,Locação,1400.0,17.0,1.0,,
https://www.novasaopaulo.com.br/imovel/kit-jardim-oriental/JA39286,Kitnet,Jardim Oriental,São Paulo,Locação,1400.0,28.0,1.0,,
https://www.novasaopaulo.com.br/imovel/kit-jardim-oriental/JA39289,Kitnet,Jardim Oriental,São Paulo,Locação,1400.0,28.0,1.0,,
https://www.novasaopaulo.com.br/imovel/comercial-paraiso/JA40979,Comercial,Paraíso,São Paulo,Locação,1400.0,25.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-chacara-santo-antonio-zona-sul/MO16405,Conjunto Comercial,Chácara Santo Antônio Zona Sul,São Paulo,Locação,1400.0,32.0,,,1.0
https://www.novasaopaulo.com.br/imovel/kit-jardim-oriental/JA39288,Kitnet,Jardim Oriental,São Paulo,Locação,1400.0,28.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-guarani-zona-sul/JA41372,Casa Térrea,Vila Guarani Zona Sul,São Paulo,Locação,1400.0,45.0,1.0,,1.0
https://www.novasaopaulo.com.br/imovel/casa-terrea-jardim-miriam-zona-sul/JA36075,Casa Térrea,Jardim Miriam Zona Sul,São Paulo,Locação,1400.0,25.0,1.0,,
https://www.novasaopaulo.com.br/imovel/apartamento-vila-monumento/JA40399,Apartamento,Vila Monumento,São Paulo,Locação,1400.0,18.0,1.0,,
https://www.novasaopaulo.com.br/imovel/kit-jardim-oriental/JA39278,Kitnet,Jardim Oriental,São Paulo,Locação,1400.0,22.0,1.0,,
https://www.novasaopaulo.com.br/imovel/apartamento-vila-monumento/JA40392,Apartamento,Vila Monumento,São Paulo,Locação,1400.0,18.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-chacara-inglesa/JA29661,Conjunto Comercial,Chácara Inglesa,São Paulo,Locação,1400.0,38.0,,,2.0
https://www.novasaopaulo.com.br/imovel/kit-jardim-oriental/JA39281,Kitnet,Jardim Oriental,São Paulo,Locação,1400.0,22.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/JA7655,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1400.0,24.0,,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/JA31810,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1400.0,24.0,,,
https://www.novasaopaulo.com.br/imovel/kit-jardim-oriental/JA39276,Kitnet,Jardim Oriental,São Paulo,Locação,1400.0,28.0,1.0,,
https://www.novasaopaulo.com.br/imovel/apartamento-vila-monumento/JA40460,Apartamento,Vila Monumento,São Paulo,Locação,1400.0,17.0,1.0,,
https://www.novasaopaulo.com.br/imovel/kit-jardim-oriental/JA39279,Kitnet,Jardim Oriental,São Paulo,Locação,1400.0,22.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-americanopolis/JA38120,Casa Térrea,Americanópolis,São Paulo,Locação,1400.0,47.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA41041,Conjunto Comercial,Saúde,São Paulo,Locação,1444.0,38.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA41040,Conjunto Comercial,Saúde,São Paulo,Locação,1444.0,38.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA41042,Conjunto Comercial,Saúde,São Paulo,Locação,1444.0,38.0,,,1.0
